,folder_name,Scan_ID,percent_vertical_cover,num_trees,understory_count,midstory_count,overstory_count,understory_percent,midstory_percent,overstory_percent,basal_area_m,max_canopy_height_m
176,05_15_2025,05_15_2025_Setup9,0.318649772,3,813650,96905,542819,0.559835252,0.066675887,0.373488861,7.689275361,22.775
177,05_16_2025,05_16_2025_Setup1,0.864999563,9,1664230,281397,1161708,0.535581133,0.090558952,0.373859915,39.05715609,33.391
178,05_16_2025,05_16_2025_Setup10,0.549824561,3,1071949,67034,791772,0.555196801,0.034719061,0.410084138,10.74931437,28.699
179,05_16_2025,05_16_2025_Setup11,0.56808681,5,1427434,203514,1135997,0.5158881,0.073551878,0.410560022,14.10147709,26.785
180,05_16_2025,05_16_2025_Setup2,0.619776393,6,2049163,207845,1075801,0.614845615,0.06236331,0.322791075,20.55506469,32.224
181,05_16_2025,05_16_2025_Setup3,0.790643899,6,1881289,298847,1139011,0.56679894,0.09003729,0.343163771,25.94023268,32.597
182,05_16_2025,05_16_2025_Setup4,0.265252487,1,1498414,110172,625309,0.67076295,0.049318343,0.279918707,3.317403368,21.533
183,05_16_2025,05_16_2025_Setup5,0.70556849,2,1927441,292391,1621109,0.50181479,0.076124835,0.422060375,12.18381256,29.89
184,05_16_2025,05_16_2025_Setup6,0.601878676,6,1917518,214534,1320761,0.555349508,0.062133107,0.382517385,22.01049713,31.496
185,05_16_2025,05_16_2025_Setup7,0.57271487,6,1907482,84275,777002,0.688930311,0.030437824,0.280631864,10.14639041,25.237
186,05_16_2025,05_16_2025_Setup8,0.886381459,9,1273041,275330,1518473,0.415098062,0.08977633,0.495125608,35.48406932,30.183
187,05_16_2025,05_16_2025_Setup9,0.533552504,4,1173075,141614,1529515,0.412444044,0.049790381,0.537765575,16.56336935,27.576
188,05_17_2025,05_17_2025_Setup1,0,0,770396,0,0,1,0,0,0,0
189,05_17_2025,05_17_2025_Setup10,0.261035008,0,2921906,6213,241909,0.921728767,0.00195992,0.076311313,0,#NAME?
190,05_17_2025,05_17_2025_Setup11,0.317018611,1,2149419,64675,619704,0.758494078,0.022822728,0.218683195,7.573125566,34.949
